true,restored,edge_type
"['10.1590/S0103-50532005000400005', 'Antioxidant']","['10.1590/S0103-50532005000400005', ['Insect antennae response', 'Cell growth inhbition', 'Antiallergenic', 'Inhibition of Myeloperoxodase', 'Mutagenic', 'Anesthetic', 'Anti-inflamatory', 'Anxiolytic', 'Antinociceptive', 'Inhibition of basal electron transport', 'Inhibition of phosphorylating electron transport', 'Genotoxic', 'Inhibition of uncoupled electron transport', 'Molluscicidal', 'Insecticidal', 'Antitrypanosomal', 'Inhibition of ATP synthesis', 'Inhibition of Cathepsin V', 'Antioxidant', 'Anticancer', 'Inhibition of Glycosidase', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Antiangiogenic', 'Antichagasic', 'Antimalarial', 'Cytotoxic', 'Antifungal', 'Inhibition of Acetylcholinesterase', 'Antibacterial', 'Antileishmanial', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1590/S0103-50532003000300007', 'Antitrypanosomal']","['10.1590/S0103-50532003000300007', ['Insect antennae response', 'Antiallergenic', 'Cell growth inhbition', 'Mutagenic', 'Inhibition of Cathepsin V', 'Antimalarial', 'Inhibition of Cathepsin B', 'Antichagasic', 'Inhibition of Cathepsin L', 'Inhibition of Myeloperoxodase', 'Antitrypanosomal', 'Anxiolytic', 'Inhibition of Acetylcholinesterase', 'Antioxidant', 'Inhibition of basal electron transport', 'Anesthetic', 'Antinociceptive', 'Inhibition of phosphorylating electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Genotoxic', 'Anti-inflamatory', 'Anticancer', 'Antibacterial', 'Inhibition of Glycosidase', 'Molluscicidal', 'Antiangiogenic', 'Insecticidal', 'Antileishmanial', 'Cytotoxic', 'Antifungal', 'Antiviral', 'Inhibition of Protease']]",doi_bioActivity
"['10.1248/bpb.31.538', 'Antitrypanosomal']","['10.1248/bpb.31.538', ['Insect antennae response', 'Antiallergenic', 'Cell growth inhbition', 'Anxiolytic', 'Inhibition of Cathepsin L', 'Antibacterial', 'Antitrypanosomal', 'Inhibition of Cathepsin B', 'Antimalarial', 'Antichagasic', 'Molluscicidal', 'Mutagenic', 'Antinociceptive', 'Anesthetic', 'Inhibition of Myeloperoxodase', 'Antiangiogenic', 'Inhibition of basal electron transport', 'Inhibition of Cathepsin V', 'Inhibition of Glycosidase', 'Anti-inflamatory', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Genotoxic', 'Inhibition of uncoupled electron transport', 'Anticancer', 'Insecticidal', 'Inhibition of Acetylcholinesterase', 'Antileishmanial', 'Cytotoxic', 'Antifungal', 'Antioxidant', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1016/j.phytochem.2009.08.013', 'Antifungal']","['10.1016/j.phytochem.2009.08.013', ['Insect antennae response', 'Antiallergenic', 'Mutagenic', 'Anesthetic', 'Antinociceptive', 'Cell growth inhbition', 'Anxiolytic', 'Inhibition of Cathepsin L', 'Insecticidal', 'Inhibition of Cathepsin B', 'Genotoxic', 'Inhibition of Cathepsin V', 'Antichagasic', 'Antimalarial', 'Molluscicidal', 'Inhibition of Acetylcholinesterase', 'Inhibition of basal electron transport', 'Anticancer', 'Antileishmanial', 'Inhibition of phosphorylating electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Anti-inflamatory', 'Cytotoxic', 'Antitrypanosomal', 'Antibacterial', 'Antifungal', 'Inhibition of Myeloperoxodase', 'Antiangiogenic', 'Inhibition of Glycosidase', 'Antioxidant', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1016/j.chroma.2009.02.066', 'Antifungal']","['10.1016/j.chroma.2009.02.066', ['Insect antennae response', 'Mutagenic', 'Antiallergenic', 'Cell growth inhbition', 'Anxiolytic', 'Insecticidal', 'Anesthetic', 'Inhibition of Cathepsin B', 'Inhibition of basal electron transport', 'Inhibition of Cathepsin L', 'Antitrypanosomal', 'Genotoxic', 'Antinociceptive', 'Antimalarial', 'Inhibition of uncoupled electron transport', 'Inhibition of phosphorylating electron transport', 'Antichagasic', 'Inhibition of ATP synthesis', 'Inhibition of Cathepsin V', 'Inhibition of Myeloperoxodase', 'Anticancer', 'Inhibition of Acetylcholinesterase', 'Molluscicidal', 'Antileishmanial', 'Antibacterial', 'Anti-inflamatory', 'Inhibition of Glycosidase', 'Antiangiogenic', 'Antioxidant', 'Antifungal', 'Cytotoxic', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1590/S0100-40422005000400009', 'Antifungal']","['10.1590/S0100-40422005000400009', ['Insect antennae response', 'Inhibition of phosphorylating electron transport', 'Mutagenic', 'Inhibition of ATP synthesis', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Inhibition of Myeloperoxodase', 'Inhibition of Cathepsin V', 'Antioxidant', 'Antichagasic', 'Cytotoxic', 'Inhibition of Cathepsin B', 'Antimalarial', 'Antileishmanial', 'Antiallergenic', 'Inhibition of Cathepsin L', 'Genotoxic', 'Inhibition of Glycosidase', 'Antibacterial', 'Cell growth inhbition', 'Insecticidal', 'Antitrypanosomal', 'Anti-inflamatory', 'Molluscicidal', 'Anxiolytic', 'Anticancer', 'Antiangiogenic', 'Anesthetic', 'Antifungal', 'Inhibition of Acetylcholinesterase', 'Antinociceptive', 'Antiviral', 'Inhibition of Protease']]",doi_bioActivity
"['10.1016/0031-9422(91)85077-D', 'Antifungal']","['10.1016/0031-9422(91)85077-D', ['Insect antennae response', 'Mutagenic', 'Cell growth inhbition', 'Antiallergenic', 'Anxiolytic', 'Cytotoxic', 'Inhibition of uncoupled electron transport', 'Inhibition of phosphorylating electron transport', 'Antifungal', 'Antibacterial', 'Inhibition of basal electron transport', 'Insecticidal', 'Anticancer', 'Inhibition of ATP synthesis', 'Genotoxic', 'Antitrypanosomal', 'Antioxidant', 'Molluscicidal', 'Antichagasic', 'Inhibition of Acetylcholinesterase', 'Anesthetic', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Anti-inflamatory', 'Antinociceptive', 'Inhibition of Myeloperoxodase', 'Antimalarial', 'Inhibition of Cathepsin V', 'Antiangiogenic', 'Antileishmanial', 'Inhibition of Glycosidase', 'Antiviral', 'Inhibition of Protease']]",doi_bioActivity
"['10.5935/0103-5053.19930018', 'Antitrypanosomal']","['10.5935/0103-5053.19930018', ['Insect antennae response', 'Cell growth inhbition', 'Antioxidant', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Inhibition of Glycosidase', 'Antifungal', 'Antiangiogenic', 'Antibacterial', 'Mutagenic', 'Antitrypanosomal', 'Cytotoxic', 'Inhibition of Cathepsin L', 'Antichagasic', 'Inhibition of Cathepsin B', 'Genotoxic', 'Anticancer', 'Antimalarial', 'Inhibition of uncoupled electron transport', 'Insecticidal', 'Antileishmanial', 'Inhibition of Cathepsin V', 'Inhibition of basal electron transport', 'Inhibition of phosphorylating electron transport', 'Inhibition of Acetylcholinesterase', 'Antinociceptive', 'Inhibition of ATP synthesis', 'Anesthetic', 'Anxiolytic', 'Molluscicidal', 'Antiallergenic', 'Antiviral', 'Inhibition of Protease']]",doi_bioActivity
"['10.1016/S0031-9422(00)00226-0', 'Antifungal']","['10.1016/S0031-9422(00)00226-0', ['Insect antennae response', 'Inhibition of phosphorylating electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport', 'Antibacterial', 'Anxiolytic', 'Anti-inflamatory', 'Antileishmanial', 'Mutagenic', 'Antifungal', 'Genotoxic', 'Antitrypanosomal', 'Cytotoxic', 'Inhibition of Cathepsin B', 'Antichagasic', 'Antimalarial', 'Inhibition of Myeloperoxodase', 'Anesthetic', 'Inhibition of Cathepsin L', 'Molluscicidal', 'Antioxidant', 'Insecticidal', 'Cell growth inhbition', 'Antiallergenic', 'Anticancer', 'Inhibition of Cathepsin V', 'Inhibition of Glycosidase', 'Inhibition of Acetylcholinesterase', 'Antiangiogenic', 'Antinociceptive', 'Inhibition of Protease', 'Antiviral']]",doi_bioActivity
"['10.1590/S0102-695X2010000100002', 'Antitrypanosomal']","['10.1590/S0102-695X2010000100002', ['Insect antennae response', 'Antiallergenic', 'Cell growth inhbition', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin L', 'Inhibition of Myeloperoxodase', 'Antichagasic', 'Inhibition of Cathepsin V', 'Antimalarial', 'Antitrypanosomal', 'Mutagenic', 'Anesthetic', 'Anxiolytic', 'Inhibition of Glycosidase', 'Molluscicidal', 'Inhibition of basal electron transport', 'Anticancer', 'Anti-inflamatory', 'Inhibition of phosphorylating electron transport', 'Antinociceptive', 'Inhibition of ATP synthesis', 'Inhibition of uncoupled electron transport', 'Antiangiogenic', 'Insecticidal', 'Genotoxic', 'Antibacterial', 'Antioxidant', 'Cytotoxic', 'Antileishmanial', 'Antifungal', 'Inhibition of Acetylcholinesterase', 'Antiviral', 'Inhibition of Protease']]",doi_bioActivity
