true,restored,edge_type
"['10.1021/np800106x', 'Antibacterial']","['10.1021/np800106x', ['Inhibition of Acetylcholinesterase', 'Insecticidal', 'Molluscicidal', 'Cytotoxic', 'Cell growth inhbition', 'Antitrypanosomal', 'Antileishmanial', 'Antioxidant', 'Antifungal', 'Inhibition of Protease', 'Inhibition of Cathepsin L', 'Antimalarial', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Anesthetic', 'Antiallergenic', 'Inhibition of phosphorylating electron transport', 'Antichagasic', 'Inhibition of ATP synthesis', 'Antinociceptive', 'Inhibition of Cathepsin B', 'Antiviral', 'Antibacterial', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Insect antennae response', 'Genotoxic', 'Mutagenic', 'Inhibition of Glycosidase', 'Anticancer', 'Antiangiogenic']]",doi_bioActivity
"['10.1021/np4006822', 'Antileishmanial']","['10.1021/np4006822', ['Inhibition of Acetylcholinesterase', 'Insecticidal', 'Cytotoxic', 'Molluscicidal', 'Antitrypanosomal', 'Antileishmanial', 'Antioxidant', 'Cell growth inhbition', 'Antifungal', 'Inhibition of Protease', 'Inhibition of Cathepsin L', 'Antimalarial', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Anesthetic', 'Antiallergenic', 'Inhibition of phosphorylating electron transport', 'Antiviral', 'Inhibition of ATP synthesis', 'Antichagasic', 'Antinociceptive', 'Inhibition of Cathepsin B', 'Antibacterial', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Insect antennae response', 'Genotoxic', 'Mutagenic', 'Inhibition of Glycosidase', 'Anticancer', 'Antiangiogenic']]",doi_bioActivity
"['10.1021/jf60217a066', 'Insect antennae response']","['10.1021/jf60217a066', ['Inhibition of Acetylcholinesterase', 'Insecticidal', 'Molluscicidal', 'Antileishmanial', 'Antioxidant', 'Cell growth inhbition', 'Cytotoxic', 'Antitrypanosomal', 'Antifungal', 'Inhibition of Protease', 'Inhibition of Cathepsin L', 'Antimalarial', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Anesthetic', 'Antiallergenic', 'Inhibition of phosphorylating electron transport', 'Antichagasic', 'Inhibition of ATP synthesis', 'Antinociceptive', 'Inhibition of Cathepsin B', 'Antiviral', 'Antibacterial', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Insect antennae response', 'Genotoxic', 'Mutagenic', 'Inhibition of Glycosidase', 'Anticancer', 'Antiangiogenic']]",doi_bioActivity
"['10.1021/jf00030a035', 'Cytotoxic']","['10.1021/jf00030a035', ['Cell growth inhbition', 'Inhibition of Acetylcholinesterase', 'Antioxidant', 'Insecticidal', 'Molluscicidal', 'Antitrypanosomal', 'Cytotoxic', 'Antileishmanial', 'Antifungal', 'Inhibition of Cathepsin L', 'Antimalarial', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Anesthetic', 'Antiallergenic', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Antichagasic', 'Inhibition of Protease', 'Antinociceptive', 'Inhibition of Cathepsin B', 'Antibacterial', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Antiviral', 'Insect antennae response', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Inhibition of Glycosidase', 'Antiangiogenic']]",doi_bioActivity
"['10.1021/jf063451x', 'Anti-inflamatory']","['10.1021/jf063451x', ['Inhibition of Acetylcholinesterase', 'Cell growth inhbition', 'Antioxidant', 'Insecticidal', 'Molluscicidal', 'Cytotoxic', 'Antitrypanosomal', 'Antileishmanial', 'Antifungal', 'Inhibition of Cathepsin L', 'Antimalarial', 'Inhibition of Protease', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Anesthetic', 'Antiallergenic', 'Inhibition of phosphorylating electron transport', 'Antichagasic', 'Inhibition of ATP synthesis', 'Antinociceptive', 'Inhibition of Cathepsin B', 'Antibacterial', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Antiviral', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Insect antennae response', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Inhibition of Glycosidase', 'Antiangiogenic']]",doi_bioActivity
"['10.1093/mutage/gep034', 'Cytotoxic']","['10.1093/mutage/gep034', ['Inhibition of Acetylcholinesterase', 'Cell growth inhbition', 'Antioxidant', 'Insecticidal', 'Antileishmanial', 'Molluscicidal', 'Cytotoxic', 'Antitrypanosomal', 'Antifungal', 'Inhibition of Cathepsin L', 'Inhibition of Protease', 'Antimalarial', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Anesthetic', 'Antiallergenic', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Antichagasic', 'Antinociceptive', 'Inhibition of Cathepsin B', 'Antibacterial', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Antiviral', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Insect antennae response', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Inhibition of Glycosidase', 'Antiangiogenic']]",doi_bioActivity
"['10.1080/14786410412331271979', 'Cytotoxic']","['10.1080/14786410412331271979', ['Antileishmanial', 'Molluscicidal', 'Inhibition of Acetylcholinesterase', 'Antifungal', 'Insecticidal', 'Cell growth inhbition', 'Cytotoxic', 'Antioxidant', 'Antitrypanosomal', 'Inhibition of Protease', 'Inhibition of Cathepsin L', 'Antimalarial', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Anesthetic', 'Inhibition of phosphorylating electron transport', 'Antiallergenic', 'Antichagasic', 'Inhibition of ATP synthesis', 'Antinociceptive', 'Inhibition of Cathepsin B', 'Antibacterial', 'Antiviral', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Insect antennae response', 'Genotoxic', 'Mutagenic', 'Inhibition of Glycosidase', 'Anticancer', 'Antiangiogenic']]",doi_bioActivity
"['10.1002/cbdv.200800342', 'Cytotoxic']","['10.1002/cbdv.200800342', ['Cytotoxic', 'Insecticidal', 'Molluscicidal', 'Antifungal', 'Cell growth inhbition', 'Inhibition of Acetylcholinesterase', 'Antioxidant', 'Antileishmanial', 'Antitrypanosomal', 'Inhibition of Protease', 'Inhibition of Cathepsin L', 'Antimalarial', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Anesthetic', 'Antiallergenic', 'Inhibition of phosphorylating electron transport', 'Antichagasic', 'Inhibition of ATP synthesis', 'Antinociceptive', 'Inhibition of Cathepsin B', 'Antibacterial', 'Antiviral', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Insect antennae response', 'Genotoxic', 'Mutagenic', 'Inhibition of Glycosidase', 'Anticancer', 'Antiangiogenic']]",doi_bioActivity
"['10.1021/cc100076k', 'Inhibition of Cathepsin V']","['10.1021/cc100076k', ['Cell growth inhbition', 'Inhibition of Acetylcholinesterase', 'Cytotoxic', 'Molluscicidal', 'Antitrypanosomal', 'Antioxidant', 'Insecticidal', 'Antileishmanial', 'Antifungal', 'Inhibition of Cathepsin L', 'Antimalarial', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Anesthetic', 'Antiallergenic', 'Inhibition of phosphorylating electron transport', 'Inhibition of Protease', 'Antichagasic', 'Inhibition of ATP synthesis', 'Antinociceptive', 'Inhibition of Cathepsin B', 'Antibacterial', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Antiviral', 'Insect antennae response', 'Genotoxic', 'Mutagenic', 'Anticancer', 'Inhibition of Glycosidase', 'Antiangiogenic']]",doi_bioActivity
"['10.1590/S0102-695X2010005000017', 'Inhibition of Glycosidase']","['10.1590/S0102-695X2010005000017', ['Inhibition of Acetylcholinesterase', 'Molluscicidal', 'Insecticidal', 'Antileishmanial', 'Antioxidant', 'Antitrypanosomal', 'Cytotoxic', 'Cell growth inhbition', 'Antifungal', 'Inhibition of Protease', 'Inhibition of Cathepsin L', 'Antimalarial', 'Antiviral', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Anesthetic', 'Antiallergenic', 'Inhibition of phosphorylating electron transport', 'Inhibition of ATP synthesis', 'Antichagasic', 'Antinociceptive', 'Inhibition of Cathepsin B', 'Antibacterial', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Insect antennae response', 'Genotoxic', 'Inhibition of Glycosidase', 'Mutagenic', 'Anticancer', 'Antiangiogenic']]",doi_bioActivity
"['10.1021/np9703656', 'Antifungal']","['10.1021/np9703656', ['Inhibition of Cathepsin L', 'Antimalarial', 'Anesthetic', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Inhibition of phosphorylating electron transport', 'Antiallergenic', 'Antichagasic', 'Inhibition of ATP synthesis', 'Antinociceptive', 'Inhibition of Cathepsin B', 'Antibacterial', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Cell growth inhbition', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Insect antennae response', 'Genotoxic', 'Cytotoxic', 'Antitrypanosomal', 'Antifungal', 'Insecticidal', 'Antileishmanial', 'Antioxidant', 'Inhibition of Acetylcholinesterase', 'Molluscicidal', 'Mutagenic', 'Inhibition of Protease', 'Anticancer', 'Antiviral', 'Antiangiogenic', 'Inhibition of Glycosidase']]",doi_bioActivity
"['10.1590/S0103-50532007000700017', 'Antioxidant']","['10.1590/S0103-50532007000700017', ['Inhibition of Acetylcholinesterase', 'Molluscicidal', 'Insecticidal', 'Cell growth inhbition', 'Antioxidant', 'Antileishmanial', 'Antitrypanosomal', 'Cytotoxic', 'Antifungal', 'Inhibition of Protease', 'Inhibition of Cathepsin L', 'Antimalarial', 'Inhibition of uncoupled electron transport', 'Inhibition of basal electron transport', 'Anesthetic', 'Antiallergenic', 'Inhibition of phosphorylating electron transport', 'Antichagasic', 'Inhibition of ATP synthesis', 'Antinociceptive', 'Inhibition of Cathepsin B', 'Antiviral', 'Antibacterial', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Inhibition of Myeloperoxodase', 'Anti-inflamatory', 'Insect antennae response', 'Genotoxic', 'Mutagenic', 'Inhibition of Glycosidase', 'Anticancer', 'Antiangiogenic']]",doi_bioActivity
