true,restored,edge_type
"['10.1107/S160053680302107X', 'Antileishmanial']","['10.1107/S160053680302107X', ['Antibacterial', 'Anesthetic', 'Inhibition of Cathepsin B', 'Inhibition of Myeloperoxodase', 'Antichagasic', 'Antifungal', 'Inhibition of Cathepsin L', 'Anticancer', 'Antiangiogenic', 'Anxiolytic', 'Inhibition of uncoupled electron transport', 'Anti-inflamatory', 'Inhibition of Glycosidase', 'Antimalarial', 'Inhibition of basal electron transport', 'Inhibition of ATP synthesis', 'Antiallergenic', 'Inhibition of phosphorylating electron transport', 'Antioxidant', 'Antileishmanial', 'Insecticidal', 'Inhibition of Protease', 'Cell growth inhbition', 'Cytotoxic', 'Antiviral', 'Genotoxic', 'Antitrypanosomal', 'Molluscicidal', 'Inhibition of Cathepsin V', 'Mutagenic', 'Inhibition of Acetylcholinesterase', 'Insect antennae response', 'Antinociceptive']]",doi_bioActivity
"['10.1021/np0303963', 'Cytotoxic']","['10.1021/np0303963', ['Antiallergenic', 'Mutagenic', 'Inhibition of Cathepsin L', 'Genotoxic', 'Antichagasic', 'Antimalarial', 'Inhibition of Protease', 'Insect antennae response', 'Antiviral', 'Anxiolytic', 'Antileishmanial', 'Inhibition of Cathepsin B', 'Cell growth inhbition', 'Anticancer', 'Anti-inflamatory', 'Cytotoxic', 'Insecticidal', 'Inhibition of ATP synthesis', 'Inhibition of Acetylcholinesterase', 'Antitrypanosomal', 'Inhibition of Myeloperoxodase', 'Inhibition of basal electron transport', 'Antiangiogenic', 'Inhibition of phosphorylating electron transport', 'Inhibition of uncoupled electron transport', 'Antioxidant', 'Inhibition of Glycosidase', 'Anesthetic', 'Inhibition of Cathepsin V', 'Antibacterial', 'Antifungal', 'Molluscicidal', 'Antinociceptive']]",doi_bioActivity
"['10.1016/j.jfca.2003.09.013', 'Antioxidant']","['10.1016/j.jfca.2003.09.013', ['Mutagenic', 'Genotoxic', 'Cell growth inhbition', 'Antiallergenic', 'Insect antennae response', 'Inhibition of Cathepsin L', 'Anti-inflamatory', 'Antioxidant', 'Antichagasic', 'Inhibition of basal electron transport', 'Inhibition of Protease', 'Insecticidal', 'Inhibition of phosphorylating electron transport', 'Antiviral', 'Anxiolytic', 'Inhibition of ATP synthesis', 'Inhibition of Myeloperoxodase', 'Cytotoxic', 'Antileishmanial', 'Inhibition of Glycosidase', 'Inhibition of uncoupled electron transport', 'Inhibition of Cathepsin B', 'Antimalarial', 'Antiangiogenic', 'Anticancer', 'Inhibition of Acetylcholinesterase', 'Antitrypanosomal', 'Anesthetic', 'Antibacterial', 'Inhibition of Cathepsin V', 'Antifungal', 'Molluscicidal', 'Antinociceptive']]",doi_bioActivity
"['10.1002/cbdv.200800342', 'Cytotoxic']","['10.1002/cbdv.200800342', ['Mutagenic', 'Genotoxic', 'Antiallergenic', 'Inhibition of Cathepsin L', 'Cytotoxic', 'Cell growth inhbition', 'Antichagasic', 'Inhibition of ATP synthesis', 'Antileishmanial', 'Anesthetic', 'Inhibition of basal electron transport', 'Inhibition of uncoupled electron transport', 'Inhibition of Cathepsin B', 'Inhibition of phosphorylating electron transport', 'Antiangiogenic', 'Insect antennae response', 'Antimalarial', 'Anti-inflamatory', 'Inhibition of Cathepsin V', 'Inhibition of Acetylcholinesterase', 'Inhibition of Myeloperoxodase', 'Inhibition of Glycosidase', 'Inhibition of Protease', 'Antibacterial', 'Insecticidal', 'Anticancer', 'Antifungal', 'Antiviral', 'Antioxidant', 'Anxiolytic', 'Antitrypanosomal', 'Molluscicidal', 'Antinociceptive']]",doi_bioActivity
"['10.1021/np9004079', 'Cytotoxic']","['10.1021/np9004079', ['Antiallergenic', 'Mutagenic', 'Anesthetic', 'Inhibition of Cathepsin L', 'Genotoxic', 'Cell growth inhbition', 'Antichagasic', 'Anxiolytic', 'Insect antennae response', 'Antiangiogenic', 'Cytotoxic', 'Inhibition of Cathepsin B', 'Inhibition of Glycosidase', 'Inhibition of Cathepsin V', 'Inhibition of Myeloperoxodase', 'Inhibition of Protease', 'Antifungal', 'Antimalarial', 'Antibacterial', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport', 'Insecticidal', 'Inhibition of uncoupled electron transport', 'Inhibition of Acetylcholinesterase', 'Antioxidant', 'Antiviral', 'Inhibition of phosphorylating electron transport', 'Anti-inflamatory', 'Antileishmanial', 'Anticancer', 'Antitrypanosomal', 'Molluscicidal', 'Antinociceptive']]",doi_bioActivity
"['10.1590/s0100-40422008000700015', 'Cytotoxic']","['10.1590/s0100-40422008000700015', ['Genotoxic', 'Anesthetic', 'Mutagenic', 'Antiallergenic', 'Anxiolytic', 'Cytotoxic', 'Inhibition of Cathepsin L', 'Antichagasic', 'Insect antennae response', 'Inhibition of Cathepsin B', 'Inhibition of Cathepsin V', 'Antifungal', 'Antimalarial', 'Antileishmanial', 'Cell growth inhbition', 'Antibacterial', 'Inhibition of Acetylcholinesterase', 'Inhibition of ATP synthesis', 'Antiangiogenic', 'Insecticidal', 'Inhibition of Protease', 'Inhibition of basal electron transport', 'Anticancer', 'Inhibition of uncoupled electron transport', 'Inhibition of Myeloperoxodase', 'Inhibition of phosphorylating electron transport', 'Inhibition of Glycosidase', 'Antiviral', 'Anti-inflamatory', 'Antitrypanosomal', 'Antioxidant', 'Molluscicidal', 'Antinociceptive']]",doi_bioActivity
"['10.1021/np900644x', 'Inhibition of Acetylcholinesterase']","['10.1021/np900644x', ['Mutagenic', 'Genotoxic', 'Antiallergenic', 'Insect antennae response', 'Anesthetic', 'Anxiolytic', 'Cell growth inhbition', 'Inhibition of Protease', 'Inhibition of Cathepsin L', 'Inhibition of Acetylcholinesterase', 'Cytotoxic', 'Insecticidal', 'Inhibition of ATP synthesis', 'Antichagasic', 'Antibacterial', 'Inhibition of Cathepsin V', 'Inhibition of basal electron transport', 'Antileishmanial', 'Antiviral', 'Antioxidant', 'Inhibition of phosphorylating electron transport', 'Antiangiogenic', 'Inhibition of Glycosidase', 'Antimalarial', 'Anti-inflamatory', 'Inhibition of Myeloperoxodase', 'Inhibition of uncoupled electron transport', 'Antifungal', 'Inhibition of Cathepsin B', 'Anticancer', 'Antitrypanosomal', 'Molluscicidal', 'Antinociceptive']]",doi_bioActivity
"['10.1021/np9704617', 'Antifungal']","['10.1021/np9704617', ['Antiallergenic', 'Mutagenic', 'Insect antennae response', 'Genotoxic', 'Insecticidal', 'Cell growth inhbition', 'Anesthetic', 'Inhibition of ATP synthesis', 'Antileishmanial', 'Inhibition of basal electron transport', 'Inhibition of Cathepsin L', 'Inhibition of Protease', 'Inhibition of Acetylcholinesterase', 'Inhibition of phosphorylating electron transport', 'Inhibition of uncoupled electron transport', 'Antichagasic', 'Cytotoxic', 'Inhibition of Cathepsin V', 'Anxiolytic', 'Antiangiogenic', 'Antiviral', 'Antimalarial', 'Inhibition of Glycosidase', 'Antifungal', 'Inhibition of Cathepsin B', 'Inhibition of Myeloperoxodase', 'Antitrypanosomal', 'Anticancer', 'Anti-inflamatory', 'Antioxidant', 'Antibacterial', 'Molluscicidal', 'Antinociceptive']]",doi_bioActivity
"['10.1080/14786410802243271', 'Antitrypanosomal']","['10.1080/14786410802243271', ['Antiallergenic', 'Cell growth inhbition', 'Inhibition of Cathepsin L', 'Antichagasic', 'Anticancer', 'Inhibition of Cathepsin B', 'Mutagenic', 'Inhibition of Protease', 'Genotoxic', 'Anesthetic', 'Insect antennae response', 'Inhibition of Glycosidase', 'Antimalarial', 'Antiviral', 'Anxiolytic', 'Inhibition of Myeloperoxodase', 'Inhibition of Acetylcholinesterase', 'Antibacterial', 'Antileishmanial', 'Cytotoxic', 'Inhibition of Cathepsin V', 'Anti-inflamatory', 'Antiangiogenic', 'Insecticidal', 'Antitrypanosomal', 'Antioxidant', 'Inhibition of ATP synthesis', 'Inhibition of basal electron transport', 'Inhibition of phosphorylating electron transport', 'Antifungal', 'Inhibition of uncoupled electron transport', 'Molluscicidal', 'Antinociceptive']]",doi_bioActivity
"['10.1515/znc-2002-5-602', 'Anticancer']","['10.1515/znc-2002-5-602', ['Anesthetic', 'Inhibition of Cathepsin L', 'Antiallergenic', 'Antichagasic', 'Inhibition of ATP synthesis', 'Inhibition of Cathepsin B', 'Cell growth inhbition', 'Inhibition of basal electron transport', 'Inhibition of Protease', 'Mutagenic', 'Antimalarial', 'Inhibition of uncoupled electron transport', 'Inhibition of Cathepsin V', 'Genotoxic', 'Inhibition of phosphorylating electron transport', 'Insecticidal', 'Antiviral', 'Anxiolytic', 'Antiangiogenic', 'Insect antennae response', 'Antileishmanial', 'Inhibition of Myeloperoxodase', 'Antioxidant', 'Inhibition of Glycosidase', 'Cytotoxic', 'Anti-inflamatory', 'Antifungal', 'Antitrypanosomal', 'Anticancer', 'Inhibition of Acetylcholinesterase', 'Antibacterial', 'Molluscicidal', 'Antinociceptive']]",doi_bioActivity
